@RELATION char_6

@ATTRIBUTE char    REAL
@ATTRIBUTE class    {+1, -1}

@DATA
1.25707656307e-06,+1
2.00497882041e-06,+1
2.48982178074e-06,+1
1.14320481639e-06,+1
3.05697995966e-05,+1
6.4915887554e-07,+1
2.67232662586e-06,+1
1.06801758015e-06,+1
1.11053392985e-06,+1
1.08463229916e-06,+1
3.05559405471e-05,+1
3.64650755739e-06,+1
1.84942834601e-06,+1
2.46643087848e-05,+1
5.33899353907e-06,+1
2.00910301525e-05,+1
2.01083121561e-05,+1
1.17062410981e-06,+1
2.17548745105e-06,+1
4.06147900341e-06,+1
4.64762449696e-06,+1
1.90760751346e-06,+1
3.2736933314e-05,+1
2.58658621901e-06,+1
1.90327295997e-06,+1
8.87086965875e-07,+1
8.59807610626e-07,+1
2.03006297745e-06,+1
3.82252768466e-06,+1
4.5477634301e-06,+1
5.59253640147e-06,+1
4.93289555364e-05,+1
1.41885929699e-06,+1
1.48048849068e-06,+1
9.76803127301e-07,+1
1.72236251632e-06,+1
2.85694314041e-06,+1
1.10859508969e-06,+1
4.96345619949e-06,+1
1.46381120382e-06,+1
3.23139412537e-05,+1
1.93256565975e-06,+1
9.38510181386e-07,+1
1.13788575182e-06,+1
1.48133382572e-06,+1
5.20845141286e-06,+1
9.00474750452e-07,+1
2.16301958579e-06,+1
7.34289610611e-06,+1
1.54457538253e-06,+1
1.03767400203e-05,+1
1.55888479607e-06,+1
3.67049753325e-06,+1
8.60563486272e-07,+1
4.82944548567e-06,+1
1.49799133487e-06,+1
2.50858871145e-06,+1
1.88579533436e-06,+1
2.34662328358e-06,+1
6.92573447984e-07,+1
2.47058663689e-06,+1
1.43759426029e-06,+1
9.13727413516e-07,+1
4.07849147938e-06,+1
1.34431463031e-06,+1
1.37382011677e-05,+1
1.61714302252e-06,+1
4.03936066773e-06,+1
4.24345655182e-06,+1
2.04954821801e-06,+1
1.20839038289e-06,+1
3.03249881956e-05,+1
3.78561064587e-05,+1
2.25589018587e-05,+1
1.13822989116e-06,+1
1.57199155209e-06,+1
3.69842492693e-05,+1
1.00329069581e-06,+1
3.46620841782e-06,+1
1.18679492624e-06,+1
2.65338223651e-06,+1
8.48963511322e-07,+1
4.01989041779e-06,+1
1.30120607056e-06,+1
1.10912438094e-06,+1
1.16132800163e-06,+1
9.10756367733e-06,+1
1.28151360409e-06,+1
3.63352962581e-06,+1
1.08611614757e-06,+1
3.48420693762e-06,+1
3.46407952576e-06,+1
7.44430197113e-07,+1
2.1684442744e-06,+1
1.82642301701e-06,+1
6.69338833357e-06,+1
1.55122382679e-06,+1
1.52365234883e-05,+1
1.20999770863e-06,+1
1.21177888334e-06,+1
1.17209640563e-06,+1
5.14174715506e-06,+1
8.28076737451e-05,+1
5.86629014746e-06,+1
7.28473628538e-07,+1
1.37317157472e-05,+1
1.05327914014e-06,+1
1.15579306387e-06,+1
1.13919639687e-05,+1
3.94242499107e-05,+1
5.33949469941e-06,+1
3.92164367499e-06,+1
1.52105900681e-06,+1
6.00246309136e-06,+1
4.39818843611e-05,+1
3.70524231223e-06,+1
7.80593342113e-07,+1
1.36074061249e-05,+1
1.86328880849e-06,+1
3.1454081624e-06,+1
2.15848675201e-06,+1
1.6142347105e-06,+1
2.77020976684e-06,+1
2.99102577307e-05,+1
1.28075478956e-06,+1
6.27268980305e-06,+1
1.22842296979e-05,+1
5.01669037016e-06,+1
4.94265286055e-06,+1
1.58750895264e-06,+1
1.34457047462e-06,+1
3.67356528388e-05,+1
2.98135260984e-06,+1
4.34487911787e-06,+1
1.00934816926e-06,+1
7.49237583201e-06,+1
3.63160167479e-06,+1
3.63230599153e-06,+1
3.62528013705e-06,+1
4.43247259667e-06,+1
6.57285525193e-06,+1
1.29647420839e-06,+1
1.42352859632e-06,+1
1.3072188922e-06,+1
9.60416766984e-06,+1
1.3399426235e-05,+1
2.34056728977e-06,+1
1.31714191914e-06,+1
9.80242901707e-07,+1
4.6406210919e-06,+1
5.21229804008e-06,+1
9.83383813396e-07,+1
1.85902287892e-06,+1
9.85977010826e-07,+1
1.26232581927e-05,+1
1.00934752679e-06,+1
1.66516580646e-06,+1
6.41083591506e-06,+1
1.70855339343e-05,+1
1.89918672195e-06,+1
2.99047525663e-05,+1
5.33096173051e-06,+1
1.23600772376e-05,+1
1.32999435336e-06,+1
5.24932596024e-06,+1
4.39748645084e-06,+1
3.1641398737e-05,+1
2.12910747433e-06,+1
1.2248737123e-05,+1
4.26743512255e-06,+1
1.66689827998e-06,+1
1.77552827861e-05,+1
7.13468687774e-06,+1
2.77069765524e-05,+1
7.71436193763e-06,+1
1.51143571978e-06,+1
5.01523010519e-06,+1
2.69426779123e-06,+1
2.00466876508e-06,+1
1.37247803413e-06,+1
2.92241848655e-06,+1
7.36878313458e-06,+1
3.43084871368e-06,+1
5.4330842165e-06,+1
1.07534555456e-05,+1
1.21163828597e-06,+1
7.61098744872e-06,+1
7.85588313963e-06,+1
8.9036301626e-06,+1
1.22502894926e-05,+1
5.67534729194e-06,+1
9.4525696044e-06,+1
9.53045456495e-06,+1
1.02924218111e-06,+1
1.97529741088e-06,+1
2.09518861409e-06,+1
2.11959757046e-06,+1
5.53857846188e-06,+1
1.02682077971e-06,+1
1.26984836431e-05,+1
5.68664258244e-06,+1
5.06017783905e-06,+1
3.59606222337e-06,+1
1.29219510194e-06,+1
4.71113607666e-06,+1
5.23711543894e-06,+1
9.6840522665e-07,+1
1.12681224943e-06,+1
4.34181694444e-06,+1
3.86119442297e-05,+1
1.4837169883e-06,+1
1.28227869944e-06,+1
1.12340062187e-05,+1
1.30166662234e-06,+1
1.24863267598e-06,+1
1.91682299376e-06,+1
3.33024744331e-06,+1
8.3394950822e-06,+1
2.3099013631e-06,+1
9.54700111743e-07,+1
5.83549879806e-06,+1
5.24700950328e-06,+1
5.54337665629e-06,+1
1.19683008444e-05,+1
1.30404496302e-05,+1
7.84597318989e-06,+1
2.23591924666e-06,+1
1.42827244466e-06,+1
2.30264559832e-06,+1
3.09844584587e-06,+1
3.70662419797e-06,+1
6.8015407809e-06,+1
2.17706834066e-05,+1
4.64906775884e-06,+1
5.1254587975e-06,+1
4.45961138961e-06,+1
1.09727087776e-06,+1
7.00038139702e-07,+1
7.3813151287e-06,+1
2.64519018917e-06,+1
2.77238763284e-05,+1
9.11557306683e-06,+1
1.27321139474e-05,+1
1.0859833552e-06,+1
1.65529554606e-06,+1
2.54027516126e-05,+1
4.44486235076e-06,+1
1.42290179694e-05,+1
1.18704577425e-05,+1
2.36630071742e-06,+1
1.94617842998e-06,+1
9.95122952371e-06,+1
6.8962662465e-06,+1
5.26834202143e-06,+1
6.66160838481e-06,+1
1.24130683354e-06,+1
2.04711574797e-06,+1
1.22816033239e-06,+1
2.80150692879e-06,+1
1.67254875701e-06,+1
7.67577441566e-06,+1
3.02562757748e-05,+1
1.95429465972e-06,+1
1.18716480249e-05,+1
4.57013064238e-06,+1
6.06414629251e-06,+1
5.94962096018e-06,+1
3.27814455275e-05,+1
1.53230820747e-06,+1
1.73238493121e-06,+1
2.51772890796e-06,+1
6.58058309989e-06,+1
1.19936915581e-05,+1
1.02149587286e-06,+1
1.50151983567e-06,+1
5.39779016148e-06,+1
6.46222777214e-06,+1
1.05130223058e-06,+1
2.50340180116e-05,+1
3.10291954e-06,+1
3.91072762507e-05,+1
4.83847362144e-06,+1
1.31814503508e-06,+1
4.26505521861e-06,+1
4.744611878e-06,+1
1.21057772481e-05,+1
6.54758727028e-06,+1
1.43894456806e-06,+1
3.69618549888e-06,+1
1.45453754902e-05,+1
2.37538030013e-06,+1
9.83851890084e-06,+1
1.21324590318e-06,+1
6.07010243023e-06,+1
7.48215527206e-06,+1
9.53097137075e-06,+1
6.44374022097e-06,+1
8.67109274588e-07,+1
8.37292582156e-06,+1
2.40992052097e-06,+1
2.85843219894e-06,+1
1.75565945473e-06,+1
1.20590642048e-06,+1
3.10942455029e-06,+1
8.90089542708e-06,+1
2.25549460861e-06,+1
9.61230721057e-06,+1
1.36171348134e-05,+1
2.14486619487e-06,+1
8.46566653357e-06,+1
4.03260975525e-06,+1
9.42759297029e-06,+1
2.34597700356e-06,+1
2.35539200351e-06,+1
1.37054016637e-06,+1
1.11602980481e-06,+1
5.69016387095e-06,+1
1.57463818319e-05,+1
1.34586746118e-06,+1
8.53876300737e-06,+1
5.44798122846e-06,+1
3.47395596199e-06,+1
1.77947079611e-06,+1
2.76357439309e-05,+1
2.06912668976e-06,+1
8.73904239648e-06,+1
1.49865625766e-06,+1
4.23965536974e-06,+1
1.52499823205e-05,+1
2.68918414134e-06,+1
5.05085818132e-06,+1
6.68954390647e-06,+1
6.71470211423e-06,+1
1.80067911552e-05,+1
3.62560513535e-06,+1
1.31251617533e-06,+1
8.21234335735e-06,+1
7.60628221979e-06,+1
2.25244730146e-06,+1
4.05849546633e-06,+1
9.98717529086e-07,+1
1.38384805049e-06,+1
3.81580897368e-06,+1
3.90807154072e-05,+1
1.24143879386e-05,+1
9.34772516992e-06,+1
7.16692048992e-06,+1
3.81578653141e-06,+1
1.17396595622e-05,+1
2.17394828599e-06,+1
5.44302199731e-06,+1
1.18883424624e-05,+1
4.97394738999e-06,+1
1.72563635812e-06,+1
6.86430409272e-06,+1
3.23471363779e-06,+1
2.52067911628e-06,+1
2.68719442696e-06,+1
2.7615795778e-06,+1
6.14038216993e-06,+1
4.74167298403e-06,+1
2.11824373834e-06,+1
2.09433222381e-06,+1
1.75663772953e-06,+1
1.56705094786e-06,+1
2.25299398888e-06,+1
1.7855179948e-06,+1
4.10418382252e-06,+1
2.085174807e-05,+1
3.59392386463e-06,+1
1.25934383342e-06,+1
5.23398247749e-06,+1
9.37735543204e-06,+1
1.03346907459e-06,+1
4.02987522006e-06,+1
4.57183918625e-06,+1
7.22475697466e-06,+1
5.58137172358e-06,+1
1.8970779684e-06,+1
3.37526856525e-06,+1
2.31582583102e-05,+1
1.62187636986e-06,+1
3.38106305552e-06,+1
9.17039011439e-07,+1
1.85728699428e-05,+1
9.85905096948e-06,+1
2.37866474255e-05,+1
1.72958047153e-06,+1
6.08605819617e-06,+1
9.05956044002e-07,+1
7.80440347628e-07,+1
3.55231981691e-06,+1
4.04204495666e-06,+1
4.30244921911e-06,+1
1.24859411908e-06,+1
2.16017682061e-06,+1
2.3243914076e-06,+1
7.01995337835e-06,+1
9.77754926022e-07,+1
4.32818548458e-06,+1
6.29149379655e-06,+1
8.45330410949e-07,+1
8.81795723498e-06,+1
2.18079952579e-06,+1
1.45607569411e-05,+1
1.44221788883e-06,+1
7.83562946781e-06,+1
1.99610338111e-06,+1
8.85102773888e-07,+1
5.14103609684e-06,+1
1.15552103747e-05,+1
5.0828956748e-06,+1
1.57636194532e-05,+1
3.88073522332e-06,+1
2.19277619034e-06,+1
1.65844848536e-06,+1
9.97311499524e-06,+1
1.37419261839e-06,+1
2.96443523078e-06,+1
7.77206669944e-06,+1
7.03045682543e-06,+1
7.1186844068e-06,+1
1.51822145459e-06,+1
2.94690819915e-06,+1
2.20005731856e-06,+1
2.93599443093e-06,+1
1.63529260143e-05,+1
3.90312553901e-06,+1
1.01371824232e-05,+1
4.53932236859e-06,+1
1.15915206989e-05,+1
6.38738956856e-06,+1
5.90063507772e-06,+1
3.23429159908e-06,+1
2.16339448207e-06,+1
7.13614954353e-06,+1
5.90850503852e-06,+1
9.30049768959e-06,+1
2.325509522e-06,+1
3.16480395152e-06,+1
5.02529829999e-06,+1
9.92723663997e-06,+1
3.69469852438e-06,+1
2.32196695014e-06,+1
1.27670541866e-05,+1
1.46955833503e-06,+1
9.76858613949e-07,+1
1.26220478829e-06,+1
1.32930790363e-05,+1
6.39565270367e-06,+1
3.20793318131e-06,+1
1.03112811088e-06,+1
6.01148277621e-06,+1
3.19378903825e-06,+1
6.33629707147e-06,+1
5.78729966588e-06,+1
7.68346801639e-07,+1
2.07102579584e-06,+1
1.77992738787e-06,+1
1.09446933185e-06,+1
4.84109136064e-06,+1
1.95692688184e-06,+1
8.79662236861e-07,+1
1.61379019729e-06,+1
4.87789528187e-06,+1
1.0936171982e-05,+1
9.97343955633e-06,+1
3.45697927103e-06,+1
1.07634577828e-06,+1
4.86363011715e-06,+1
6.64450453169e-06,+1
2.40132607522e-06,+1
3.37859370861e-06,+1
7.72489492261e-06,+1
4.53989676495e-06,+1
1.62556590914e-06,+1
2.0578558662e-06,+1
2.33372086234e-05,+1
1.42361593849e-05,+1
1.89489572444e-06,+1
1.37278986035e-05,+1
5.19882090228e-06,+1
5.12131023227e-06,+1
3.20644902809e-06,+1
1.31561532976e-05,+1
2.86225593095e-06,+1
3.09884903809e-06,+1
4.5307881613e-06,+1
1.23120222507e-06,+1
2.85856172341e-06,+1
8.37538629436e-06,+1
6.35413267699e-06,+1
8.09909405308e-06,+1
9.109299604e-06,+1
5.00734087931e-06,+1
1.53494728345e-06,+1
3.10491564929e-06,+1
1.11282721543e-06,+1
5.55327999372e-06,+1
1.97521506906e-06,+1
2.44232200249e-06,+1
2.11020322336e-06,+1
4.17508858801e-06,+1
1.2087639422e-06,+1
2.30482445641e-06,+1
1.47215612174e-06,+1
5.09016394595e-06,+1
3.32430785078e-06,+1
8.91260024187e-06,+1
1.76633914348e-06,+1
2.67568844412e-06,+1
5.07111455867e-06,+1
8.40330073244e-06,+1
7.36441781437e-06,+1
1.92729310956e-06,+1
2.50034267034e-06,+1
6.53325106994e-06,+1
4.62211486742e-06,+1
5.5720110306e-06,+1
4.45216102281e-06,+1
1.11259350785e-05,+1
4.11321105792e-06,+1
7.29702033577e-06,+1
1.48536590034e-05,+1
1.77215010313e-06,+1
2.78098330595e-06,+1
7.02076212357e-06,+1
3.08735961301e-06,+1
